861480113757 [-0.972274 -1.89285]'  [0.550763 0.963836]'  [0.0192369 0.0961645]'  [0.0343901 0.171915]' 
861481034376 [-0.971827 -1.892]'  [0.485989 0.91798]'  [0.0840106 0.14202]'  [0.150187 0.253892]' 
861482029636 [-0.971329 -1.89111]'  [0.499491 0.899084]'  [0.070509 0.160916]'  [0.12605 0.287673]' 
861483030266 [-0.970832 -1.89016]'  [0.49681 0.94394]'  [0.0731896 0.11606]'  [0.130842 0.207483]' 
861484030056 [-0.970335 -1.88922]'  [0.497228 0.944733]'  [0.0727722 0.115267]'  [0.130096 0.206065]' 
861485030596 [-0.969888 -1.88827]'  [0.44717 0.944025]'  [0.12283 0.115975]'  [0.219586 0.207331]' 
861486029426 [-0.96949 -1.88733]'  [0.398165 0.945641]'  [0.171835 0.114359]'  [0.307193 0.204442]' 
861487029756 [-0.968993 -1.88633]'  [0.496959 0.993919]'  [0.0730406 0.0660812]'  [0.130576 0.118135]' 
861488029996 [-0.968496 -1.88534]'  [0.497004 0.994008]'  [0.0729959 0.0659918]'  [0.130496 0.117975]' 
861489030476 [-0.967949 -1.8844]'  [0.546573 0.944081]'  [0.0234266 0.115919]'  [0.0418802 0.20723]' 
861490113516 [-0.967402 -1.8833]'  [0.504908 1.00982]'  [0.0650918 0.0501837]'  [0.116366 0.0897143]' 
861491034465 [-0.966955 -1.88241]'  [0.485815 0.97163]'  [0.0841848 0.0883695]'  [0.150499 0.15798]' 
861492030115 [-0.966408 -1.88136]'  [0.549225 1.04852]'  [0.0207751 0.0114798]'  [0.0371401 0.0205226]' 
861493029605 [-0.965911 -1.88037]'  [0.497377 0.994754]'  [0.0726229 0.0652459]'  [0.129829 0.116641]' 
861494030025 [-0.965463 -1.87942]'  [0.447223 0.944138]'  [0.122777 0.115862]'  [0.21949 0.207129]' 
861495030415 [-0.964966 -1.87848]'  [0.49693 0.944166]'  [0.0730704 0.115834]'  [0.130629 0.207078]' 
861496029725 [-0.964519 -1.87759]'  [0.44772 0.89544]'  [0.12228 0.16456]'  [0.218602 0.294187]' 
861497030175 [-0.964022 -1.87664]'  [0.4969 0.94411]'  [0.0731002 0.11589]'  [0.130683 0.207179]' 
861498029215 [-0.963574 -1.8757]'  [0.447841 0.945442]'  [0.122159 0.114558]'  [0.218386 0.204797]' 
861499029725 [-0.963177 -1.87475]'  [0.397496 0.944053]'  [0.172504 0.115947]'  [0.308389 0.207281]' 
861500114205 [-0.96263 -1.87366]'  [0.504238 1.00848]'  [0.0657623 0.0515245]'  [0.117564 0.0921113]' 
861501037584 [-0.962182 -1.87276]'  [0.484537 0.969074]'  [0.0854632 0.0909265]'  [0.152784 0.162551]' 
861502029304 [-0.961685 -1.87187]'  [0.501274 0.902293]'  [0.068726 0.157707]'  [0.122863 0.281936]' 
861503030924 [-0.961188 -1.87087]'  [0.496319 0.992639]'  [0.0736806 0.0673613]'  [0.13172 0.120423]' 
861504030714 [-0.960691 -1.86988]'  [0.497228 0.994456]'  [0.0727722 0.0655444]'  [0.130096 0.117175]' 
861505030744 [-0.960144 -1.86884]'  [0.546819 1.04393]'  [0.0231807 0.0160722]'  [0.0414405 0.0287325]' 
861506030474 [-0.959597 -1.86784]'  [0.546983 0.994515]'  [0.0230166 0.0654847]'  [0.0411472 0.117068]' 
861507024564 [-0.9591 -1.8668]'  [0.500079 1.05017]'  [0.0699211 0.00983437]'  [0.124999 0.0175811]' 
861508033864 [-0.958603 -1.86585]'  [0.492543 0.935831]'  [0.0774572 0.124169]'  [0.138472 0.221979]' 
861509030444 [-0.958106 -1.86486]'  [0.498829 0.997659]'  [0.0711706 0.0623412]'  [0.127233 0.111449]' 
861510114264 [-0.957609 -1.86382]'  [0.458677 0.963222]'  [0.111323 0.0967781]'  [0.199014 0.173012]' 
861511034973 [-0.957161 -1.86292]'  [0.485942 0.971884]'  [0.0840581 0.0881162]'  [0.150272 0.157527]' 
861512029453 [-0.956764 -1.86193]'  [0.399906 0.999766]'  [0.170094 0.0602345]'  [0.30408 0.107682]' 
861513030293 [-0.956267 -1.86093]'  [0.496706 0.993412]'  [0.0732938 0.0665877]'  [0.131029 0.11904]' 
861514030083 [-0.955819 -1.85999]'  [0.447505 0.944733]'  [0.122495 0.115267]'  [0.218987 0.206065]' 
861515030653 [-0.955322 -1.85904]'  [0.49684 0.943996]'  [0.0731598 0.116004]'  [0.130789 0.207382]' 
861516029753 [-0.954825 -1.85805]'  [0.497571 0.995142]'  [0.0724288 0.0648576]'  [0.129482 0.115947]' 
861517030533 [-0.954328 -1.857]'  [0.496736 1.04315]'  [0.0732641 0.0168545]'  [0.130976 0.0301311]' 
861518029873 [-0.953781 -1.85596]'  [0.547197 1.04465]'  [0.0228031 0.0153514]'  [0.0407655 0.027444]' 
